127.0.0.1 - - [21/Aug/2015:10:32:26 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:32 +0300] "GET /camp/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:32 +0300] "GET /camp/login HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:32 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:38 +0300] "POST /camp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:38 +0300] "GET /camp/login?error HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:42 +0300] "POST /camp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:42 +0300] "GET /camp/login?error HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:44 +0300] "POST /camp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:45 +0300] "GET /camp/ HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:45 +0300] "GET /camp/resources/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:45 +0300] "GET /camp/resources/js/ie-emulation-modes-warning.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:45 +0300] "GET /camp/resources/css/sticky-footer-navbar.css HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:45 +0300] "GET /camp/resources/css/common.css HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:45 +0300] "GET /camp/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [21/Aug/2015:10:32:45 +0300] "GET /camp/resources/css/bootstrap.min.css HTTP/1.1" 200 122540
